#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
75,Egreedy,1,75,4.5/2.25,0.022143125534057617,1.978764533996582,None,1,[0 0 1 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0]
76,Egreedy,1,76,4.0/1.75,0.033753395080566406,2.0125179290771484,None,3,[0 0 1 1 1 0 0 0 0 0 0 2 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0]
77,Egreedy,1,77,4.75/2.5,0.01671004295349121,2.0292279720306396,None,3,[0 0 1 1 1 0 2 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0]
78,Egreedy,1,78,3.5/2.75,0.016644001007080078,2.0458719730377197,None,4,[0 2 0 0 0 0 2 0 0 0 0 2 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0]
79,Egreedy,1,79,4.75/2.0,0.0211334228515625,2.0670053958892822,None,4,[0 0 0 0 0 0 2 0 0 0 0 2 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0]
80,Egreedy,1,80,4.75/2.0,0.023064851760864258,2.0900702476501465,None,2,[0 0 0 0 0 0 2 0 0 0 0 2 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0]
81,Egreedy,1,81,4.5/2.25,0.04845404624938965,2.138524293899536,None,4,[1 0 0 0 1 0 2 0 0 0 0 2 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0]
82,Egreedy,1,82,3.75/3.5,0.046750545501708984,2.185274839401245,None,4,[1 2 0 0 0 0 2 0 0 0 0 2 0 1 1 1 1 0 0 0 0 1 0 0 0 1 0]
83,Egreedy,1,83,3.5/3.75,0.006269216537475586,2.1915440559387207,None,1,[1 2 0 0 0 0 2 0 0 0 0 2 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0]
84,Egreedy,1,84,3.25/3.5,0.006138801574707031,2.1976828575134277,None,1,[1 2 0 0 0 0 2 0 0 0 0 2 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0]
85,Egreedy,1,85,5.0/2.75,0.01268315315246582,2.2103660106658936,None,2,[1 0 0 1 0 0 2 0 0 0 0 2 0 1 1 1 0 0 0 0 0 1 0 0 0 1 1]
86,Egreedy,1,86,5.5/3.75,0.01839470863342285,2.2287607192993164,None,3,[1 0 0 1 1 0 2 0 0 0 0 2 2 0 0 0 0 0 0 0 0 1 0 0 0 1 1]
87,Egreedy,1,87,4.5/2.75,0.005926847457885742,2.234687566757202,None,1,[1 0 0 1 1 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1]
88,Egreedy,1,88,5.75/4.0,0.019035816192626953,2.253723382949829,None,3,[1 0 0 1 0 1 2 0 0 0 0 2 2 0 0 0 0 0 0 0 0 1 0 1 0 1 1]
89,Egreedy,1,89,5.75/4.0,0.019980669021606445,2.2737040519714355,None,3,[1 0 1 1 0 0 2 0 0 0 0 2 2 0 0 0 0 0 0 0 0 1 0 1 0 1 1]
90,Egreedy,1,90,6.0/3.75,0.022322416305541992,2.2960264682769775,None,1,[0 0 1 1 0 0 2 0 0 0 0 2 2 0 0 0 0 0 0 0 0 1 0 1 0 1 1]
91,Egreedy,1,91,6.0/3.75,0.025860309600830078,2.3218867778778076,None,4,[0 0 0 1 1 0 2 0 0 0 0 2 2 0 0 0 0 0 0 0 1 1 0 0 0 1 1]
92,Egreedy,1,92,5.75/3.5,0.010043859481811523,2.331930637359619,None,1,[0 0 0 0 1 0 2 0 0 0 0 2 2 0 0 0 0 0 0 0 1 1 0 0 0 1 1]
93,Egreedy,1,93,4.0/4.25,0.03665304183959961,2.3685836791992188,None,2,[1 2 0 0 0 0 2 0 0 0 0 2 2 0 0 0 0 0 0 0 1 1 0 0 0 0 1]
94,Egreedy,1,94,4.0/4.25,0.019661426544189453,2.388245105743408,None,2,[1 2 0 0 0 0 2 0 0 0 0 2 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1]
